Original_Entry_ID,Gene_Symbol,SMILES
2164960,KCNH2,O1CCN(CCCNC(=O)CCC2CCCC2)CC1
5395795,KCNH2,FC=1C=CC(N=NC2=C(NN=C2O)C)=CC1
957562,KCNH2,O1C(=C(C(=O)C(=C1C)C(OC)=O)C(OC)=O)C
775768,KCNH2,BrC1=CC(S(=O)(=O)N2C=CN=C2)=C(OC)C=C1
608335,KCNH2,ClC=1C(CN2N=C(C(N)=C2C)C)=CC=CC1
660451,KCNH2,S1C(C=2N(CCC)C=3C(N2)=CC=CC3)=CC=C1
231999,KCNH2,N(\C1=CC=CC=C1)=C(/C=2C=CC=CC2)\C#N
4092647,KCNH2,ClC1=NC2=C(N=C1Cl)C=C(C(=C2)C)C
796955,KCNH2,P(=O)(CC1=CC=CC=C1)(CC2=CC=CC=C2)CO
9609700,KCNH2,S1C(/C(=N/NC(OCC)=O)/C)=CC=C1
225453,KCNH2,O1CCN(CC1)C(=O)C2=CC(N(=O)=O)=CC=C2
6603534,KCNH2,BrC1=CC=C(C(O)(CCN2CCOCC2)CCC)C=C1
2948685,KCNH2,ClC1=CC=C(CC(OC2CCN(CC2)C)=O)C=C1
1474888,KCNH2,ClC=1SC(COC2=C(C=C(C=C2)C)C)=CN1
2355064,KCNH2,S1C(CC(OCC(=O)C=2OC=CC2)=O)=CC=C1
669435,KCNH2,S1CCN=C1NC(=O)C2=CC(OC)=CC=C2
4253388,KCNH2,S1C2=C(N=C1CC)C=C3SC(=NC3=C2)CC
5374954,KCNH2,ON=C1C(=NC2=C(N=C1C)C=CC=C2)C
657609,KCNH2,N12C(=NC(=CC1=NN=C2)C)CC3=CC=CC=C3
1402124,KCNH2,OC=1N2C(N=C(CCC)C1)=NC=3C2=CC=CC3
661956,KCNH2,S1C=2N(CCC1)C(=O)C=C(N3CCCCC3)N2
224588,KCNH2,O=C(N)C=1N=C2C(=C(N1)C)C=CC=C2
242760,KCNH2,S1C(C(=O)C=2C(=CC(=CC2C)C)C)=CC=C1
2800821,KCNH2,S1C(=NN=C1NC(=O)NCCCC)C(C)(C)C
841625,KCNH2,S=C(N1CCCCCC1)C=2C=CC(OC)=CC2
3043001,KCNH2,O=C1N(C(=O)CC(C1)C2=CC=CC=C2)C
2057402,KCNH2,S1C(=NN=C1NC(OCCC)=O)CCCCC
324720,KCNH2,S1CC(=O)N(C2=CC(=C(C=C2)C)C)C1=S
5076481,KCNH2,ClC1=CC=C(CN2CCNC2=O)C=C1
2819872,KCNH2,S1C(C(=O)NNC(=S)NC)=CC=C1
655210,KCNH2,S(=O)(=O)(N1CCOCC1)C2=CC(OC)=C(F)C=C2
3332664,KCNH2,ClC1=C(CCCl)C(=NC=2C1=CC=CC2OC)C
4643187,KCNH2,O=C(NN)C=1N=C2N(C1C)C=CC=C2
612016,KCNH2,O1C=2CCC=3C(C(O)C2N=C1C)=CC=CC3
5307056,KCNH2,O(C1=CC=C(OC)C=C1)CC2=NNN=N2
2249348,KCNH2,O(CCCCCNCCO)C=1C(OC)=CC=CC1
4961864,KCNH2,O=C(C=1N(C=CN1)C)C2=CC=C(N)C=C2
265036,KCNH2,FC=1C=C2C(C3=C(C2=NO)C=CC=C3)=CC1
873800,KCNH2,S(=O)(=O)(NC1CCCCCCC1)C2=CC=C(F)C=C2
315174,KCNH2,OC(=O)C1C2CC(=CC2)C1C(O)=O
245731,KCNH2,ClC1=CC=C(SCNC=2C=CC(=CC2)C)C=C1
973785,KCNH2,BrC1=C(N(S(=O)(=O)N2CCCCC2)N=C1C)C
2357907,KCNH2,S(C1=NC=CC=C1C(OCC2=CC=CC=C2)=O)C
5215431,KCNH2,ClC1=CC(NC(=O)NNC(=S)N)=CC=C1Cl
81656,KCNH2,O(C1=CC=C(N(=O)=O)C=C1)C(=O)N(C)C
6484428,KCNH2,O(C=1C=CC(C2=NOC(O)=N2)=CC1)C
824731,KCNH2,O(C1=NN(C2=CC=CC=C2)C(=O)C=C1)CC
1295697,KCNH2,BrC=1C=C(S(=O)(=O)N2CCN(CC2)CC)C=CC1OC
894180,KCNH2,BrC=1SC(S(=O)(=O)NC2=NC(=CC=C2)C)=CC1
204417,KCNH2,N1(CCCCC1)C2=NC(N3CCCCC3)=NC(=N2)N
4777906,KCNH2,O(C1=CC2=C(N(C(=C2)C(OC)=O)C)C=C1)C
3296970,KCNH2,ClC1=NC=CC=C1C(OCC=2C=CC(=CC2)C(OC)=O)=O
363890,KCNH2,S(=O)(=O)(CC=1C(N(=O)=O)=CC=CC1)C2=CC=CC=C2
3005742,KCNH2,S=C(NCC1=NC=CC=C1)NN=CC=2N=CC=CC2
45479973,KCNH2,S(O)(O)(N=C1CCCCC1)=CCNCC2=CC=CC=C2
24761800,KCNH2,BrC1=CC=C(C(NS(OCC(Cl)(Cl)Cl)(=O)=O)C)C=C1
551032,KCNH2,O=C(N1CCN(CC1)C)CC2=CC=C(OC)C=C2
2984810,KCNH2,OC=1N(N=C(C(C)(C)C)C1)C2=NC(=CC(=N2)C)C
2028070,KCNH2,O=C1N(NC2=NC(=CC(=N2)C)C)C(=O)C=C1
646999,KCNH2,O1N=C(N=C1C2=C(C=CC=C2)C)C3=CC=CN=C3
1478939,KCNH2,ClC1=C(N=CC(=C1)C(F)(F)F)C(=O)C2=CC=CN=C2
872677,KCNH2,ClC=1C=C(CN=C2CC(CC(=O)C2)(C)C)C=CC1Cl
3116246,KCNH2,BrC=1C=C(C(=O)NCC(=O)NN)C=CC1
23723191,KCNH2,S1C=2C(=O)N(C=3C(=CC=CC3)C)C(=NC2C=C1)C
709667,KCNH2,OC=1N(CCC(C)C)C2=C(N1)C=CC=C2
245504,KCNH2,O1C(NC(=O)C2=C1C=CC=C2)C3=CC=CC=C3
1740388,KCNH2,O=C1CC(CC(=O)C1C=NCCCN2CCCC2=O)(C)C
4433550,KCNH2,O=C1CC(CC(=NNC(OC(C)(C)C)=O)C1)(C)C
1225855,KCNH2,ClC1=CC=C(N2CCN(C(=O)C3CCC3)CC2)C=C1
6870031,KCNH2,OC1=CC(=CC=C1)/C=N/NC=2N=C(O)N=CC2
73957,KCNH2,O1CCN(CC1)CCCOC2=CC=C(OCCCC)C=C2
2454965,KCNH2,ClCC(=O)N1CCN(CC1)CC=2C=C(C=CC2)C
306674,KCNH2,O=C(NC(C)(C)C)NCCC1=CC=CC=C1
2813904,KCNH2,O=C(N(C1CCCCC1)C)C2=CC=3OCOC3C=C2
734408,KCNH2,ClC1=CC(NC(=O)NCC2=CC=CN=C2)=CC=C1Cl
392799,KCNH2,S=C1N(C(CC1)C(OC)=O)C(=O)C=2C=CC=CC2
893480,KCNH2,ClC=1C(CN(C2=NC(=CC(=N2)C)C)C#N)=CC=CC1
649835,KCNH2,S1C(N2CCN(CC2)CCC#N)=NC(O)=C1C=3CCCCC3
2329362,KCNH2,S=C(NCC1=CC=CC=C1)NCC(=O)O
2935351,KCNH2,ClC1=CC=C(SCCCN2CC(OC(C2)C)C)C=C1
8373720,KCNH2,S1C(C(=O)COC(=O)C=2C(SC)=NC=CC2)=CC=C1C
2906254,KCNH2,S(C=1N=C(C=C(C1C(=O)N)C)C)CCC
664510,KCNH2,O1C(=NC(=C1NC)C#N)C2=C3C(=CC=C2)C=CC=C3
2329081,KCNH2,ClC=1C(N=C2NCCCCC2)=CC(=CC1)C(F)(F)F
916889,KCNH2,S1C(C(=O)NC(=S)NCC2=CC=CC=C2)=CC=C1
560762,KCNH2,S1C=C(N=C1NC)C2=CC=C(N(=O)=O)C=C2
1470942,KCNH2,FC(F)(F)C1=NC=2C(N3C1=NN=C3N)=CC=CC2
731480,KCNH2,ClC1=CC(=C(NC(=O)CCC(=O)O)C=C1)C
652801,KCNH2,FC(F)(F)C=1N(N=NC1C(O)(C)C)C2=CC=CC=C2
2828838,KCNH2,O(C(=O)C=1N=C(NC1C(OCC)=O)C)CC
609935,KCNH2,N1C=2C(C(C(CN)C3=CC=CC=C3)=C1)=CC=CC2
955778,KCNH2,S(=O)(=O)(NC(=S)NCC)C1=CC=C(F)C=C1
5804088,KCNH2,O1CCC/C(=C\C2=CC=3OCOC3C=C2)/C1=O
745091,KCNH2,FC1=C(N2CCOCC2)C(F)=C(F)C(=C1F)C(OC)=O
1377535,KCNH2,BrC=1C(O)=C(CN2CCN(CC2)CCO)C=C(Br)C1
2835548,KCNH2,S=P1(OC(CO1)C)N(C2=CC=CC=C2)C(OCC)=O
651383,KCNH2,ClC=1C(=C(N2N=NN=C2C=3SC=CC3)C=CC1)C
6407597,KCNH2,ClC=1N=NC(NS(=O)(=O)C2=CC=CC=C2)=CC1
798472,KCNH2,S(=O)(=O)(N1CCN(CC1)C2=CC=C(OC)C=C2)C
8411,KCNH2,O(C1=CC(C2=CC(OC)=C(N)C=C2)=CC=C1N)C
1876787,KCNH2,ON1C=2CCCCC2[N+](=O)C3=C1C=C(C=C3)C
2486757,KCNH2,BrC=1C(=CC(NC(=O)CC=2C=CSC2)=CC1)C
3236873,KCNH2,OC=1N(C2CCCC2)C=C(C1)C(O)NCCOC
828463,KCNH2,S1C2=C(C3=C(N)C=4CCCCCC4N=C13)CCCCC2
